Transaction ID,Date,Description,Amount,Currency,Supplier Name,Category,Subcategory
T0086,2025-03-14,"Procurement of Lab Equipment from Cain, Price and Lozano",43636.56,USD,"Cain, Price and Lozano",R&D,Lab Equipment
T0087,2025-01-14,"Procurement of Research Services from Murillo, Jackson and Guerrero",28007.49,GBP,"Murillo, Jackson and Guerrero",R&D,Research Services
T0088,2025-02-25,Procurement of Employee Training from Reid-Reynolds,1198.03,GBP,Reid-Reynolds,HR & Training,Employee Training
T0089,2025-03-21,Procurement of Cold Chain Transport from Adams-Patel,20954.55,GBP,Adams-Patel,Logistics,Cold Chain Transport
T0090,2025-03-13,Procurement of Lab Equipment from Silva PLC,11069.72,GBP,Silva PLC,R&D,Lab Equipment
T0091,2025-02-17,Procurement of Recruitment Services from Contreras-Lucas,3956.58,EUR,Contreras-Lucas,HR & Training,Recruitment Services
T0092,2025-03-08,Procurement of Digital Advertising from Banks-Tate,22586.41,USD,Banks-Tate,Marketing,Digital Advertising
T0093,2025-01-09,"Procurement of Professional IT Services from Cook, Rivera and Cox",5956.55,USD,"Cook, Rivera and Cox",IT,Professional IT Services
T0094,2025-01-14,Procurement of Last-mile Delivery from Juarez Inc,33699.28,EUR,Juarez Inc,Logistics,Last-mile Delivery
T0095,2025-01-17,"Procurement of Digital Advertising from Alvarado, Smith and Williams",20399.18,USD,"Alvarado, Smith and Williams",Marketing,Digital Advertising
T0096,2025-01-11,Procurement of Raw Materials from Mitchell Ltd,8241.69,EUR,Mitchell Ltd,Manufacturing,Raw Materials
T0097,2024-12-28,Procurement of Recurrent SaaS License from Ramsey-Barnett,23159.99,GBP,Ramsey-Barnett,IT,Recurrent SaaS License
T0098,2025-03-02,Procurement of redefine frictionless markets from Combs PLC,38964.92,EUR,Combs PLC,,
T0099,2025-02-10,Procurement of Cold Chain Transport from Benton-Wang,26299.05,GBP,Benton-Wang,Logistics,Cold Chain Transport
T0100,2025-02-09,Procurement of Recruitment Services from Reid-Reynolds,26098.09,GBP,Reid-Reynolds,HR & Training,Recruitment Services
T0101,2025-02-23,Procurement of brand user-centric solutions from Dunlap-Weiss,20334.29,EUR,Dunlap-Weiss,,
T0102,2025-03-09,Procurement of Cold Chain Transport from Matthews LLC,28283.39,GBP,Matthews LLC,Logistics,Cold Chain Transport
T0103,2025-03-14,"Procurement of Print Media from Cain, Price and Lozano",4632.95,GBP,"Cain, Price and Lozano",Marketing,Print Media
T0104,2025-01-07,Procurement of Temporary Staff from Flores Ltd,17877.71,EUR,Flores Ltd,HR & Training,Temporary Staff
T0105,2025-02-07,"Procurement of Production Equipment from Jennings, Lawrence and Jackson",44059.94,EUR,"Jennings, Lawrence and Jackson",Manufacturing,Production Equipment
T0106,2025-03-02,Procurement of One-shot Software Purchase from Sherman-Martin,10037.59,EUR,Sherman-Martin,IT,One-shot Software Purchase
T0107,2025-01-24,Procurement of Temporary Staff from Patterson-Clayton,14612.44,GBP,Patterson-Clayton,HR & Training,Temporary Staff
T0108,2025-02-25,Procurement of Research Services from Banks-Tate,8149.4,EUR,Banks-Tate,R&D,Research Services
T0109,2025-01-05,"Procurement of Warehousing from Sanchez, Wu and Smith",1817.66,USD,"Sanchez, Wu and Smith",Logistics,Warehousing
T0110,2025-02-10,"Procurement of Digital Advertising from Sherman, Colon and Moore",12087.39,EUR,"Sherman, Colon and Moore",Marketing,Digital Advertising
T0111,2025-01-28,Procurement of synergize out-of-the-box action-items from Burgess PLC,21547.6,GBP,Burgess PLC,,
T0112,2025-02-25,Procurement of Recurrent SaaS License from Combs PLC,36685.62,USD,Combs PLC,IT,Recurrent SaaS License
T0113,2025-02-24,Procurement of Recurrent SaaS License from Erickson-Larson,31641.16,EUR,Erickson-Larson,IT,Recurrent SaaS License
T0114,2025-01-16,"Procurement of Lab Equipment from Berry, Adkins and Davis",36757.04,EUR,"Berry, Adkins and Davis",R&D,Lab Equipment
T0115,2025-03-07,Procurement of generate holistic platforms from Smith and Sons,30110.73,USD,Smith and Sons,,
T0116,2025-02-21,Procurement of Print Media from Cross Inc,30838.19,USD,Cross Inc,Marketing,Print Media
T0117,2025-03-01,"Procurement of Clinical Trials from Olson, Stein and Baker",10285.94,GBP,"Olson, Stein and Baker",R&D,Clinical Trials
T0118,2025-01-02,Procurement of brand customized communities from Vargas-Becker,4349.3,EUR,Vargas-Becker,,
T0119,2025-02-05,Procurement of Lab Equipment from Russell-Kim,48023.79,GBP,Russell-Kim,R&D,Lab Equipment
T0120,2025-02-16,Procurement of Professional IT Services from Avila-Miller,9493.06,GBP,Avila-Miller,IT,Professional IT Services
T0121,2025-02-23,"Procurement of extend 24/7 e-services from Randolph, Salas and Vasquez",22450.39,EUR,"Randolph, Salas and Vasquez",,
T0122,2024-12-27,"Procurement of Digital Advertising from Hooper, Robinson and Little",30930.01,GBP,"Hooper, Robinson and Little",Marketing,Digital Advertising
T0123,2025-01-24,Procurement of Lab Equipment from Martin and Sons,49553.21,GBP,Martin and Sons,R&D,Lab Equipment
T0124,2025-03-18,Procurement of Cold Chain Transport from Haley Group,35577.99,EUR,Haley Group,Logistics,Cold Chain Transport
T0125,2025-03-01,Procurement of Recurrent SaaS License from Malone-Whitaker,35153.57,USD,Malone-Whitaker,IT,Recurrent SaaS License
T0126,2025-02-21,Procurement of morph robust eyeballs from Russell-Kim,42259.6,GBP,Russell-Kim,,
T0127,2025-01-13,Procurement of Digital Advertising from Juarez Inc,48475.14,USD,Juarez Inc,Marketing,Digital Advertising
T0128,2025-03-25,Procurement of orchestrate compelling synergies from Young-Anderson,17991.9,EUR,Young-Anderson,,
T0129,2025-03-12,Procurement of integrate value-added e-business from Watson-Smith,43967.08,EUR,Watson-Smith,,
T0130,2025-02-21,Procurement of Raw Materials from Wall PLC,16153.72,EUR,Wall PLC,Manufacturing,Raw Materials
T0131,2025-01-17,"Procurement of Clinical Trials from Monroe, Bryant and Dennis",16697.09,GBP,"Monroe, Bryant and Dennis",R&D,Clinical Trials
T0132,2025-03-15,Procurement of Employee Training from Avila-Miller,3569.87,EUR,Avila-Miller,HR & Training,Employee Training
T0133,2024-12-27,Procurement of Event Sponsorship from Williams PLC,49818.06,USD,Williams PLC,Marketing,Event Sponsorship
T0134,2025-02-24,Procurement of Recruitment Services from Gilbert-Velazquez,35840.2,EUR,Gilbert-Velazquez,HR & Training,Recruitment Services
T0135,2025-02-16,"Procurement of Research Services from Scott, West and Brown",45522.15,EUR,"Scott, West and Brown",R&D,Research Services
T0136,2024-12-31,"Procurement of architect web-enabled e-tailers from Murillo, Jackson and Guerrero",24313.6,GBP,"Murillo, Jackson and Guerrero",,
T0137,2024-12-26,Procurement of Research Services from Patel LLC,43889.19,USD,Patel LLC,R&D,Research Services
T0138,2025-02-26,Procurement of Recruitment Services from Webb-Tucker,32834.69,USD,Webb-Tucker,HR & Training,Recruitment Services
T0139,2025-02-13,"Procurement of Temporary Staff from Adams, Young and Hodges",6788.92,EUR,"Adams, Young and Hodges",HR & Training,Temporary Staff
T0140,2025-02-06,Procurement of Lab Equipment from Smith and Sons,5075.87,GBP,Smith and Sons,R&D,Lab Equipment
T0141,2025-03-17,Procurement of Warehousing from Russell-Kim,44363.54,USD,Russell-Kim,Logistics,Warehousing
T0142,2025-01-15,Procurement of redefine distributed e-markets from Ramsey-Barnett,27276.47,EUR,Ramsey-Barnett,,
T0143,2025-02-09,"Procurement of Warehousing from Olson, Stein and Baker",48427.7,USD,"Olson, Stein and Baker",Logistics,Warehousing
T0144,2025-02-03,"Procurement of productize seamless metrics from Day, Long and Bell",26138.4,EUR,"Day, Long and Bell",,
T0145,2025-01-29,Procurement of Print Media from Wall PLC,12456.98,GBP,Wall PLC,Marketing,Print Media
T0146,2025-03-21,Procurement of utilize ubiquitous experiences from Brooks LLC,17091.26,EUR,Brooks LLC,,
T0147,2025-01-12,Procurement of Temporary Staff from Watson-Smith,41013.82,GBP,Watson-Smith,HR & Training,Temporary Staff
T0148,2025-01-27,Procurement of Recurrent SaaS License from Hughes-Payne,15024.99,EUR,Hughes-Payne,IT,Recurrent SaaS License
T0149,2025-03-04,Procurement of Professional IT Services from Benton-Wang,36287.81,GBP,Benton-Wang,IT,Professional IT Services
T0150,2025-02-06,Procurement of engage cross-media paradigms from Hughes-Payne,9353.09,GBP,Hughes-Payne,,
T0151,2025-01-03,Procurement of Raw Materials from Nelson Group,5276.42,GBP,Nelson Group,Manufacturing,Raw Materials
T0152,2025-02-25,Procurement of re-intermediate interactive content from Williams PLC,44251.86,USD,Williams PLC,,
T0153,2025-01-10,Procurement of Employee Training from Avila-Miller,12928.03,EUR,Avila-Miller,HR & Training,Employee Training
T0154,2025-02-10,Procurement of Facility Maintenance from Flores Ltd,34634.22,GBP,Flores Ltd,Manufacturing,Facility Maintenance
T0155,2025-02-05,Procurement of Last-mile Delivery from Webb-Tucker,19135.34,USD,Webb-Tucker,Logistics,Last-mile Delivery
T0156,2025-03-15,Procurement of Professional IT Services from Watson-Carson,30072.1,EUR,Watson-Carson,IT,Professional IT Services
T0157,2025-02-16,"Procurement of Digital Advertising from Jennings, Lawrence and Jackson",23197.86,EUR,"Jennings, Lawrence and Jackson",Marketing,Digital Advertising
T0158,2025-02-27,Procurement of Clinical Trials from Matthews LLC,30771.77,GBP,Matthews LLC,R&D,Clinical Trials
T0159,2025-03-21,Procurement of One-shot Software Purchase from Johnson Ltd,24414.88,GBP,Johnson Ltd,IT,One-shot Software Purchase
T0160,2025-03-24,Procurement of Lab Equipment from Perry-Jackson,7972.77,EUR,Perry-Jackson,R&D,Lab Equipment
T0161,2025-03-19,Procurement of innovate dynamic e-tailers from Watson-Carson,3218.85,GBP,Watson-Carson,,
T0162,2025-02-11,Procurement of e-enable magnetic action-items from Stanley and Sons,12939.28,GBP,Stanley and Sons,,
T0163,2025-01-09,Procurement of Temporary Staff from Adams-Patel,25182.19,GBP,Adams-Patel,HR & Training,Temporary Staff
T0164,2025-01-03,Procurement of whiteboard back-end eyeballs from Johnson-Farmer,5137.97,EUR,Johnson-Farmer,,
T0165,2025-02-08,Procurement of embrace viral networks from Coleman Inc,11821.18,EUR,Coleman Inc,,
T0166,2025-02-01,Procurement of Recruitment Services from Nolan LLC,43212.01,USD,Nolan LLC,HR & Training,Recruitment Services
T0167,2025-02-09,Procurement of Cold Chain Transport from Nolan LLC,23774.8,EUR,Nolan LLC,Logistics,Cold Chain Transport
T0168,2025-03-20,Procurement of empower proactive initiatives from Johnson-Farmer,12967.27,EUR,Johnson-Farmer,,
T0169,2025-03-10,Procurement of Facility Maintenance from Williams PLC,44682.13,USD,Williams PLC,Manufacturing,Facility Maintenance
T0170,2024-12-27,Procurement of Last-mile Delivery from Nolan LLC,10254.73,GBP,Nolan LLC,Logistics,Last-mile Delivery
T0171,2025-01-23,Procurement of Digital Advertising from Perry LLC,48583.4,GBP,Perry LLC,Marketing,Digital Advertising
T0172,2025-03-24,"Procurement of Professional IT Services from May, Osborne and Randolph",20638.33,GBP,"May, Osborne and Randolph",IT,Professional IT Services
T0173,2025-02-15,Procurement of Clinical Trials from Flores Ltd,20239.91,GBP,Flores Ltd,R&D,Clinical Trials
T0174,2025-01-19,Procurement of Production Equipment from Hunt-Bennett,37443.93,GBP,Hunt-Bennett,Manufacturing,Production Equipment
T0175,2025-01-23,"Procurement of Clinical Trials from Murillo, Jackson and Guerrero",32911.47,GBP,"Murillo, Jackson and Guerrero",R&D,Clinical Trials
T0176,2025-02-12,Procurement of disintermediate customized users from Gilbert-Velazquez,26121.26,GBP,Gilbert-Velazquez,,
T0177,2025-02-09,"Procurement of Research Services from Mcdonald, Frederick and West",37719.34,EUR,"Mcdonald, Frederick and West",R&D,Research Services
T0178,2025-01-30,Procurement of Clinical Trials from Patel LLC,40594.17,EUR,Patel LLC,R&D,Clinical Trials
T0179,2025-02-04,"Procurement of exploit global supply-chains from Cook, Rivera and Cox",5047.44,GBP,"Cook, Rivera and Cox",,
T0180,2025-03-10,Procurement of scale web-enabled e-commerce from Coleman Inc,28215.24,EUR,Coleman Inc,,
T0181,2025-02-03,Procurement of transform mission-critical users from Smith and Sons,39303.57,USD,Smith and Sons,,
T0182,2025-01-16,"Procurement of incentivize extensible ROI from Alvarado, Smith and Williams",11464.81,GBP,"Alvarado, Smith and Williams",,
T0183,2025-01-02,"Procurement of exploit collaborative web services from Monroe, Bryant and Dennis",995.66,GBP,"Monroe, Bryant and Dennis",,
T0184,2025-02-17,Procurement of integrate dot-com schemas from Graves-Thompson,42191.47,GBP,Graves-Thompson,,
T0185,2025-03-14,Procurement of Last-mile Delivery from Reid-Reynolds,13119.82,GBP,Reid-Reynolds,Logistics,Last-mile Delivery
T0186,2025-01-03,Procurement of Lab Equipment from Mason-Warren,36286.77,EUR,Mason-Warren,R&D,Lab Equipment
T0187,2025-02-14,Procurement of reinvent leading-edge architectures from Watson-Carson,37073.76,USD,Watson-Carson,,
T0188,2025-01-14,"Procurement of One-shot Software Purchase from West, Jones and Koch",21907.72,EUR,"West, Jones and Koch",IT,One-shot Software Purchase
T0189,2025-01-24,"Procurement of deploy distributed action-items from Huff, Thompson and Day",48538.84,EUR,"Huff, Thompson and Day",,
T0190,2025-02-17,"Procurement of repurpose end-to-end web services from Olson, Stein and Baker",10905.18,USD,"Olson, Stein and Baker",,
T0191,2025-01-12,Procurement of Employee Training from Martin and Sons,29126.9,EUR,Martin and Sons,HR & Training,Employee Training
T0192,2025-02-09,Procurement of utilize virtual eyeballs from Johnson Ltd,18916.08,GBP,Johnson Ltd,,
T0193,2025-02-12,Procurement of evolve synergistic supply-chains from Martin and Sons,13533.59,EUR,Martin and Sons,,
T0194,2024-12-25,Procurement of Event Sponsorship from Cross Inc,45607.64,GBP,Cross Inc,Marketing,Event Sponsorship
T0195,2025-01-04,"Procurement of exploit clicks-and-mortar architectures from Sanchez, Wu and Smith",35517.77,GBP,"Sanchez, Wu and Smith",,
T0196,2025-02-17,Procurement of Temporary Staff from Williams PLC,18337.15,GBP,Williams PLC,HR & Training,Temporary Staff
T0197,2025-01-21,Procurement of Clinical Trials from Melton PLC,45548.32,USD,Melton PLC,R&D,Clinical Trials
T0198,2025-02-26,"Procurement of visualize cross-media functionalities from Huff, Thompson and Day",46708.45,GBP,"Huff, Thompson and Day",,
T0199,2025-01-01,Procurement of Warehousing from Coleman Inc,20951.34,GBP,Coleman Inc,Logistics,Warehousing
T0200,2025-02-08,"Procurement of e-enable back-end paradigms from Perez, Blackwell and Mckee",8954.95,EUR,"Perez, Blackwell and Mckee",,
T0201,2025-01-23,"Procurement of Research Services from Jennings, Lawrence and Jackson",26904.11,EUR,"Jennings, Lawrence and Jackson",R&D,Research Services
T0202,2025-03-03,Procurement of Employee Training from Flores Ltd,6922.59,USD,Flores Ltd,HR & Training,Employee Training
T0203,2025-03-22,"Procurement of integrate plug-and-play relationships from Hooper, Robinson and Little",36470.87,USD,"Hooper, Robinson and Little",,
T0204,2025-03-15,Procurement of Recurrent SaaS License from Williams PLC,24544.91,GBP,Williams PLC,IT,Recurrent SaaS License
T0205,2025-01-11,Procurement of Clinical Trials from Gilbert-Velazquez,40860.7,GBP,Gilbert-Velazquez,R&D,Clinical Trials
T0206,2025-02-12,Procurement of Recurrent SaaS License from Wang LLC,4610.42,EUR,Wang LLC,IT,Recurrent SaaS License
T0207,2025-01-14,Procurement of Production Equipment from Williams PLC,11286.24,GBP,Williams PLC,Manufacturing,Production Equipment
T0208,2025-02-27,"Procurement of Warehousing from Townsend, Harper and Baker",8289.41,GBP,"Townsend, Harper and Baker",Logistics,Warehousing
T0209,2025-01-07,Procurement of Recurrent SaaS License from Mason-Warren,32009.48,EUR,Mason-Warren,IT,Recurrent SaaS License
T0210,2025-01-01,"Procurement of Cold Chain Transport from West, Jones and Koch",22095.32,EUR,"West, Jones and Koch",Logistics,Cold Chain Transport
T0211,2025-02-13,"Procurement of Employee Training from Sanchez, Wu and Smith",2246.95,USD,"Sanchez, Wu and Smith",HR & Training,Employee Training
T0212,2025-03-14,Procurement of Digital Advertising from Collins-Donovan,46930.08,EUR,Collins-Donovan,Marketing,Digital Advertising
T0213,2025-03-08,Procurement of incentivize granular convergence from Wolfe-Lopez,49537.57,GBP,Wolfe-Lopez,,
T0214,2025-03-12,Procurement of Event Sponsorship from Hill PLC,1723.58,GBP,Hill PLC,Marketing,Event Sponsorship
T0215,2025-01-27,Procurement of Event Sponsorship from Brooks LLC,21651.91,GBP,Brooks LLC,Marketing,Event Sponsorship
T0216,2024-12-30,"Procurement of expedite value-added action-items from Bell, Shaffer and Zamora",49599.99,USD,"Bell, Shaffer and Zamora",,
