Date;Supplier;Category;Amount Spent;Quantity Purchased;Country;Price Change (%)
12/03/2024;Supplier B;Consulting;6274,16;517;France;-7,89
14/06/2023;Supplier D;Office Supplies;9074,88;986;Germany;-5,11
20/12/2023;Supplier C;Consulting;30174,94;698;UK;0,41
24/12/2024;Supplier A;Raw Materials;22585,83;209;India;5,75
08/03/2023;Supplier B;Raw Materials;43398,66;875;USA;12,28
02/08/2023;Supplier D;IT Equipment;6233,41;908;France;-1,07
19/01/2024;Supplier D;Consulting;42011,53;385;China;-4,45
12/10/2023;Supplier B;IT Equipment;43463,62;265;Germany;0,08
19/03/2023;Supplier C;Consulting;42418,97;383;France;2,56
16/04/2024;Supplier C;Consulting;15080,25;350;Brazil;-1,17
01/05/2023;Supplier C;Office Supplies;11386,41;830;Germany;11,41
04/04/2024;Supplier C;Consulting;6649,85;324;UK;13,85
22/11/2024;Supplier D;Raw Materials;4944,99;142;China;8,09
03/03/2023;Supplier E;IT Equipment;31484,55;622;China;3,51
16/03/2023;Supplier A;Raw Materials;33961,51;602;Brazil;-5,64
20/02/2024;Supplier D;Consulting;11219,02;15;India;-5,56
01/10/2024;Supplier C;Office Supplies;39062,56;392;Brazil;4,17
15/08/2023;Supplier D;IT Equipment;30042,24;761;China;10,6
09/06/2024;Supplier B;Raw Materials;41953,81;371;Brazil;4,42
05/09/2023;Supplier B;Consulting;7709,58;110;Brazil;-8,89
31/03/2024;Supplier D;Consulting;42129,02;397;France;3,79
10/05/2024;Supplier A;Consulting;42067,25;171;India;9,04
19/10/2023;Supplier E;Raw Materials;7811,84;471;Germany;10,58
05/07/2024;Supplier B;IT Equipment;41722,39;20;Germany;-4,67
04/10/2024;Supplier A;Raw Materials;14423,23;954;France;11,13
31/12/2024;Supplier C;Raw Materials;14057,78;1;Brazil;13,38
11/04/2023;Supplier E;Office Supplies;29303,14;274;China;-6,24
29/06/2024;Supplier D;IT Equipment;16937,55;328;Brazil;3,84
16/01/2023;Supplier E;Consulting;41545,99;851;Brazil;3,61
10/02/2023;Supplier D;Raw Materials;2117,56;82;China;-3,48
12/03/2024;Supplier C;Office Supplies;7017,98;72;UK;3,35
15/01/2024;Supplier A;Consulting;22963,74;710;France;-2,09
15/12/2023;Supplier C;Raw Materials;44812,99;675;Germany;9,85
22/11/2023;Supplier E;IT Equipment;33695,83;967;China;0,33
23/03/2024;Supplier A;Raw Materials;37658,76;992;China;-2,76
22/12/2023;Supplier E;Logistics;12634,14;870;USA;-3,95
29/01/2024;Supplier B;Logistics;15412,21;757;India;14,44
29/09/2023;Supplier B;IT Equipment;45823,59;694;Brazil;-8,42
27/03/2024;Supplier D;Raw Materials;26763,42;306;China;-9,92
26/04/2023;Supplier A;IT Equipment;2726,58;686;Brazil;5,67
11/01/2023;Supplier E;Raw Materials;45649,57;365;France;13,44
06/08/2023;Supplier A;IT Equipment;15277,85;74;Germany;-9,04
02/07/2024;Supplier D;Consulting;22669,37;654;China;0,84
01/10/2023;Supplier D;Raw Materials;21231,13;43;Germany;9,99
11/09/2023;Supplier E;Office Supplies;5306,26;701;China;8,29
24/07/2023;Supplier D;Logistics;14847,27;528;USA;-4,46
10/05/2024;Supplier D;IT Equipment;44318,3;435;USA;4,79
16/07/2023;Supplier A;Logistics;11251,08;884;Brazil;3,43
23/04/2024;Supplier C;Raw Materials;6494,61;984;Brazil;0,01
28/12/2023;Supplier B;IT Equipment;48892,4;648;UK;-6,15
25/12/2023;Supplier B;Office Supplies;14938,49;637;France;6,93
17/10/2024;Supplier E;Office Supplies;47982,02;919;India;12,57
31/03/2024;Supplier D;Raw Materials;42749,53;5;India;4,53
11/06/2024;Supplier C;IT Equipment;41957,29;306;Brazil;3,57
08/02/2024;Supplier C;Raw Materials;36665,25;717;Brazil;10,59
14/09/2023;Supplier B;IT Equipment;13084,48;429;Germany;6,92
14/05/2024;Supplier B;Consulting;38020,92;286;China;4,77
28/12/2023;Supplier A;Consulting;44213,69;801;France;-5,52
09/02/2023;Supplier A;Consulting;34971,61;207;India;-7,36
09/10/2024;Supplier E;Logistics;29731;896;Germany;14,19
18/08/2023;Supplier D;IT Equipment;24650,8;677;France;13,02
16/10/2024;Supplier E;Logistics;19377,16;578;France;8,39
08/06/2024;Supplier E;Logistics;12693,5;251;UK;-7,85
25/05/2023;Supplier B;Logistics;36101,9;686;Germany;-6,39
01/01/2023;Supplier A;Raw Materials;42831,5;290;China;8,86
10/07/2023;Supplier C;Logistics;48498,11;402;Brazil;0,08
15/11/2024;Supplier D;Office Supplies;1134,23;231;France;-2,84
24/02/2024;Supplier B;IT Equipment;17190,3;956;UK;9,9
29/09/2024;Supplier B;IT Equipment;39235,42;813;China;7,13
11/08/2024;Supplier D;Logistics;8912,99;161;UK;-3,54
03/09/2023;Supplier B;Office Supplies;31993,83;153;USA;-1,57
05/11/2023;Supplier C;IT Equipment;39469,77;6;India;12,6
15/01/2024;Supplier B;Raw Materials;25220,97;115;Brazil;-6,03
15/07/2024;Supplier A;Office Supplies;29031,89;530;China;-2,23
24/11/2024;Supplier E;Consulting;49175,11;411;China;6,07
15/07/2024;Supplier A;IT Equipment;24959,33;10;France;-1,5
09/05/2024;Supplier E;Consulting;3293,33;832;Germany;8,18
05/12/2023;Supplier A;Office Supplies;28018,4;163;UK;4,84
26/10/2024;Supplier B;Consulting;33830,97;211;Brazil;-0,65
14/01/2024;Supplier D;Logistics;21556,79;678;Brazil;-1,1
27/10/2023;Supplier D;IT Equipment;49271,55;702;China;8,75
20/10/2023;Supplier D;IT Equipment;16761,41;228;USA;2,48
22/03/2023;Supplier E;Logistics;20661,82;40;France;7,75
20/11/2023;Supplier A;IT Equipment;12209,5;200;Brazil;-7,94
24/08/2024;Supplier A;IT Equipment;43836,31;250;Brazil;11,46
11/10/2023;Supplier E;Office Supplies;37963,3;928;China;14,91
28/01/2023;Supplier E;Logistics;4588,53;864;France;-3,74
07/10/2024;Supplier D;Consulting;16705,94;729;France;-2,02
24/03/2023;Supplier C;Logistics;47025,63;839;UK;1,42
12/01/2024;Supplier A;Office Supplies;24738,5;720;Brazil;9,14
25/10/2023;Supplier E;IT Equipment;39780,54;266;UK;11,54
20/01/2024;Supplier A;Consulting;9308,89;632;Germany;-8,1
09/04/2024;Supplier D;Raw Materials;3183,2;564;India;7,97
16/01/2023;Supplier C;Office Supplies;22561,04;260;Brazil;-6,84
20/06/2024;Supplier D;Logistics;46383,53;862;Brazil;-5
20/06/2024;Supplier D;Consulting;13831,35;137;Brazil;13,35
16/09/2023;Supplier E;Consulting;18287,74;591;China;3,55
10/12/2024;Supplier C;Logistics;22048,64;517;China;-1,98
09/07/2024;Supplier D;Consulting;14794,4;211;India;8,2
25/11/2023;Supplier E;IT Equipment;47362,17;991;Brazil;-0,56
08/02/2023;Supplier C;IT Equipment;11809,82;963;France;-5,77
24/09/2023;Supplier D;Office Supplies;28832,62;325;France;-3,13
01/12/2023;Supplier D;Logistics;36791,84;940;Germany;8,81
11/05/2023;Supplier B;Logistics;21425,67;693;USA;-6,15
17/10/2024;Supplier C;Office Supplies;25279,87;543;USA;2,66
03/09/2024;Supplier E;Consulting;39135,33;311;USA;13,73
12/03/2024;Supplier C;Logistics;20957,19;86;USA;-6,82
13/01/2024;Supplier A;Office Supplies;23268,94;131;UK;14,29
28/12/2023;Supplier E;Consulting;14969,65;917;UK;-7,96
18/03/2024;Supplier B;Raw Materials;31929,08;516;China;2,01
10/03/2023;Supplier D;Logistics;17374,26;613;UK;14,05
25/08/2024;Supplier E;Logistics;3806,42;431;Brazil;14,18
24/09/2023;Supplier A;Consulting;28841,55;322;Germany;11,56
13/02/2024;Supplier A;Raw Materials;17538,34;318;Germany;-2,25
06/09/2024;Supplier B;IT Equipment;24680,54;5;India;-4,13
28/02/2023;Supplier C;Consulting;44857,31;945;USA;8,93
12/07/2024;Supplier B;Consulting;43428,05;532;Brazil;9,33
26/10/2023;Supplier E;Consulting;45913,05;704;Brazil;6,41
19/06/2024;Supplier E;IT Equipment;47426,94;525;France;-9,66
03/07/2023;Supplier C;Consulting;40854,39;700;USA;8,44
17/06/2023;Supplier D;IT Equipment;20785,22;774;UK;-1,83
22/12/2023;Supplier D;IT Equipment;41602,72;316;Germany;8,67
12/12/2023;Supplier A;Consulting;24872,79;588;France;-7,26
17/07/2024;Supplier C;Consulting;41067,59;376;France;6,21
14/05/2024;Supplier B;Logistics;38897,53;757;France;-8,91
14/12/2024;Supplier A;Logistics;41609,57;626;Germany;8,51
08/06/2024;Supplier D;Office Supplies;31262,37;447;Germany;1,12
23/01/2023;Supplier E;Raw Materials;29229,85;882;France;-2,14
02/09/2023;Supplier E;Logistics;35072,4;26;USA;9,5
28/05/2024;Supplier E;Consulting;40166,43;943;UK;-2,02
10/08/2024;Supplier A;Consulting;15362,97;217;France;12,75
18/06/2023;Supplier B;Office Supplies;48642,1;123;Germany;5,59
10/09/2023;Supplier A;Logistics;5210,94;27;India;9,99
13/11/2023;Supplier B;Office Supplies;31292,84;621;India;9,05
07/03/2023;Supplier B;Office Supplies;10936,38;47;USA;-4,03
13/08/2024;Supplier E;Office Supplies;32877,65;94;USA;5,45
19/08/2024;Supplier A;Logistics;45849,79;413;Brazil;9,18
07/11/2024;Supplier E;Consulting;31722,77;705;Brazil;-1,98
20/08/2024;Supplier D;Logistics;37049,04;899;China;7,98
05/10/2024;Supplier A;Office Supplies;37355,81;163;China;3,4
13/12/2024;Supplier C;IT Equipment;4781,46;830;USA;-9,97
15/11/2023;Supplier C;Raw Materials;49190,95;770;China;7,91
02/10/2023;Supplier D;IT Equipment;6437,75;150;UK;-1,41
19/11/2023;Supplier C;Consulting;42507,58;951;Germany;-2,93
30/01/2024;Supplier B;Consulting;12738,77;384;India;2,84
09/06/2023;Supplier D;IT Equipment;1629,21;576;Germany;-2,86
27/11/2024;Supplier B;Office Supplies;28101,44;439;India;-9,3
13/05/2024;Supplier D;Raw Materials;21006,34;399;Brazil;-0,03
30/10/2024;Supplier A;Office Supplies;46034,26;146;Brazil;6,13
04/08/2023;Supplier A;Office Supplies;14648,58;305;USA;-2,36
04/12/2023;Supplier A;Office Supplies;41712,27;387;Brazil;12,22
07/08/2024;Supplier B;Consulting;33662,96;840;UK;3,72
12/11/2023;Supplier B;IT Equipment;16691,74;176;UK;-6,72
28/05/2024;Supplier D;Consulting;22364,21;581;China;-6,38
02/11/2024;Supplier E;Logistics;44773,99;579;France;8,63
21/01/2023;Supplier B;Consulting;7682,1;71;Brazil;-5,91
11/02/2024;Supplier D;Office Supplies;13388,56;925;Germany;9,67
03/08/2024;Supplier B;Office Supplies;41233,39;7;China;14,67
27/02/2024;Supplier E;IT Equipment;49424,78;561;USA;-4,05
27/02/2024;Supplier D;Raw Materials;40322,02;73;Brazil;13,47
16/09/2024;Supplier C;Raw Materials;30408,77;634;USA;6,27
25/07/2023;Supplier D;Logistics;31534,06;957;UK;-6,13
10/08/2024;Supplier C;Logistics;35903,93;870;India;0,67
22/11/2023;Supplier E;Logistics;6666,54;515;UK;-0,11
18/07/2023;Supplier B;Office Supplies;44875,67;637;USA;9,63
04/03/2024;Supplier B;Logistics;35310,61;745;Brazil;-1,73
06/08/2024;Supplier E;Raw Materials;45561,5;133;India;5,13
16/01/2024;Supplier C;Consulting;43655,83;520;China;6,06
06/11/2024;Supplier D;Logistics;28136,47;107;China;9,41
28/04/2023;Supplier D;Logistics;26334,73;126;India;-8,01
18/05/2023;Supplier C;Consulting;39618,87;540;Brazil;12,37
07/01/2024;Supplier C;IT Equipment;49466,13;847;Brazil;3,13
01/06/2023;Supplier D;Raw Materials;38499,95;598;USA;-8,49
01/01/2023;Supplier E;Office Supplies;26753,34;734;UK;11
03/03/2023;Supplier D;IT Equipment;28649,85;685;USA;-5,19
20/04/2023;Supplier E;IT Equipment;3822,9;516;Germany;8,6
23/05/2024;Supplier C;Office Supplies;21968,17;542;UK;9,95
06/06/2024;Supplier D;Logistics;26722,26;464;India;5,65
19/05/2024;Supplier B;IT Equipment;13760,33;870;Germany;-5,03
02/12/2024;Supplier B;Consulting;5835,94;209;India;-7,49
17/12/2023;Supplier E;Logistics;8962,67;455;France;-8,7
21/11/2023;Supplier D;IT Equipment;28409,77;425;USA;13,5
22/03/2023;Supplier A;Office Supplies;33220,09;36;USA;1,76
12/01/2023;Supplier E;Consulting;9261,61;938;Germany;4,4
21/01/2024;Supplier C;Logistics;12933,34;548;India;10,68
01/04/2024;Supplier C;Raw Materials;24709,35;902;UK;7,69
27/10/2024;Supplier E;Logistics;19330,71;129;France;10,14
09/07/2024;Supplier D;Logistics;48023,88;359;USA;8,31
11/08/2023;Supplier E;Consulting;21906,9;669;Brazil;-1,06
27/11/2023;Supplier E;IT Equipment;39809,54;953;China;-6,24
10/01/2024;Supplier D;Raw Materials;25084,23;918;India;-5,92
02/03/2024;Supplier A;Raw Materials;6865,36;773;China;-1,4
26/03/2024;Supplier C;Consulting;1841,99;776;China;-5,09
18/07/2024;Supplier B;Consulting;20742,94;205;Brazil;-0,6
25/05/2023;Supplier E;Logistics;17777,91;390;India;7,6
14/02/2024;Supplier E;Consulting;2413,04;565;UK;2,82
26/01/2024;Supplier B;IT Equipment;34766,1;489;Germany;0,5
30/06/2023;Supplier C;IT Equipment;35166,57;489;France;14,51
03/11/2023;Supplier A;Raw Materials;36809,04;799;France;-7,43
13/08/2024;Supplier E;Consulting;19467,99;386;USA;-6,75
31/08/2023;Supplier C;Raw Materials;41035,81;198;Brazil;8,92
27/09/2023;Supplier E;Consulting;22165,64;681;Germany;3,02
30/09/2023;Supplier E;IT Equipment;21333,12;335;Germany;-0,35
05/12/2023;Supplier A;Office Supplies;34266,99;913;Germany;1,12
22/09/2024;Supplier A;IT Equipment;29888,43;977;USA;6,23
15/08/2024;Supplier D;Raw Materials;31926,35;498;Brazil;-1,8
23/12/2024;Supplier E;Office Supplies;44516,35;405;Brazil;13,06
25/09/2024;Supplier B;Office Supplies;37271,09;394;Germany;10,23
24/12/2023;Supplier B;Consulting;27378,33;661;Germany;1,24
14/05/2023;Supplier C;IT Equipment;4936,11;327;UK;-4,79
04/09/2024;Supplier A;Logistics;34902,6;179;China;4,28
03/11/2024;Supplier D;Raw Materials;23704,44;467;Brazil;14,37
05/09/2023;Supplier E;Raw Materials;44853,91;315;India;-3,89
19/08/2024;Supplier A;IT Equipment;20748,79;297;USA;-7,4
18/10/2024;Supplier B;Logistics;14948,39;527;USA;2,65
27/04/2023;Supplier E;IT Equipment;47124,24;786;USA;-1,67
30/12/2023;Supplier D;Office Supplies;14205,1;271;India;0,51
21/10/2024;Supplier C;Logistics;15546,51;704;Germany;10,03
21/05/2024;Supplier B;Raw Materials;49178,96;625;UK;-4,29
03/10/2024;Supplier D;IT Equipment;36521,49;969;India;5,4
20/04/2024;Supplier A;Office Supplies;23641,84;679;Brazil;0,3
02/12/2024;Supplier D;Raw Materials;19945,62;825;UK;-7,67
27/03/2024;Supplier D;Logistics;17556,56;429;India;-8,5
19/07/2023;Supplier D;Logistics;16461,91;725;China;1,04
22/02/2024;Supplier D;Office Supplies;13696,34;346;China;-2,76
03/01/2024;Supplier A;Logistics;16722,77;945;France;12,04
25/05/2024;Supplier D;IT Equipment;41419,23;233;India;-7,85
31/01/2024;Supplier B;Logistics;35167,46;758;France;5,82
04/05/2023;Supplier D;Logistics;47875,81;908;China;3,02
26/07/2024;Supplier C;IT Equipment;12171,47;26;Brazil;-3,12
08/02/2023;Supplier A;Raw Materials;19166,83;675;USA;0,88
12/01/2024;Supplier C;Office Supplies;48466,28;266;UK;-5,67
06/09/2023;Supplier E;Logistics;10867,54;465;UK;-9,31
23/02/2024;Supplier E;Logistics;45955,38;358;China;1,38
17/09/2023;Supplier A;Logistics;44453,08;618;Germany;-2,62
28/05/2024;Supplier A;Raw Materials;30918,06;147;India;-1,34
03/10/2024;Supplier C;Consulting;37751,82;53;UK;-9,78
08/06/2024;Supplier D;Consulting;25024,54;38;Brazil;4,91
02/08/2023;Supplier B;Office Supplies;34134,53;681;UK;-6,15
24/10/2024;Supplier E;Logistics;35002,67;406;Brazil;-1,91
27/05/2024;Supplier E;Raw Materials;35801,01;854;France;8,25
13/12/2023;Supplier A;Office Supplies;39373,23;145;India;-2,83
14/06/2023;Supplier D;IT Equipment;18119,93;948;UK;-7,47
26/10/2024;Supplier B;Logistics;18512,06;782;USA;-3,72
10/12/2023;Supplier C;Logistics;36981,87;912;UK;11,19
10/10/2024;Supplier B;Office Supplies;2892,37;468;France;-2,38
25/04/2023;Supplier B;IT Equipment;32535,68;659;India;9,99
07/09/2024;Supplier B;Consulting;46695;433;USA;-1,11
22/01/2023;Supplier D;IT Equipment;5532,68;451;Germany;13,86
01/03/2023;Supplier E;Consulting;17388,98;660;China;-1,96
10/04/2023;Supplier C;Raw Materials;24754,19;968;France;3,84
18/03/2023;Supplier E;Consulting;19091,18;941;France;-9,11
29/10/2024;Supplier E;Consulting;24913,57;532;UK;10,32
29/04/2023;Supplier B;IT Equipment;14699,68;401;China;-2,1
07/03/2023;Supplier A;Raw Materials;33634,09;38;France;13,01
12/03/2023;Supplier E;Office Supplies;43940,93;633;Brazil;2,83
19/10/2023;Supplier B;Logistics;26933,78;395;India;-7,56
24/04/2024;Supplier A;Consulting;46138,28;542;USA;-4,14
21/04/2024;Supplier A;Office Supplies;23188,45;209;Brazil;3,37
10/09/2024;Supplier E;Consulting;27215,73;913;India;5,13
26/07/2024;Supplier E;IT Equipment;49713,15;902;China;13,41
19/03/2024;Supplier D;Logistics;43266,92;658;France;4,46
11/03/2024;Supplier E;Logistics;48795,01;313;UK;-4,36
19/06/2024;Supplier D;Office Supplies;20006,02;107;France;-5,34
04/11/2024;Supplier B;Logistics;47360,13;232;India;-7,2
06/04/2023;Supplier C;Office Supplies;27825,78;123;Brazil;3,65
17/09/2023;Supplier C;IT Equipment;34756,07;377;Germany;4,12
20/01/2023;Supplier D;Office Supplies;35331,8;669;Brazil;2,21
27/08/2024;Supplier C;Raw Materials;22926,85;351;France;-0,16
22/08/2024;Supplier D;Office Supplies;44897,88;235;India;12,19
17/03/2024;Supplier E;IT Equipment;24823,75;663;France;-2,84
05/05/2023;Supplier A;Office Supplies;22887,83;284;Brazil;-7,52
27/08/2024;Supplier A;Logistics;48183,95;938;Germany;-9,39
19/01/2024;Supplier C;Office Supplies;19089,72;368;Brazil;8,37
28/10/2023;Supplier B;Logistics;15328,65;558;Germany;-8,39
20/09/2024;Supplier C;IT Equipment;2778,99;405;France;-2,58
01/01/2024;Supplier D;Consulting;44640,49;684;Brazil;11,6
12/06/2023;Supplier C;Consulting;8524,04;432;Germany;-6,44
23/11/2023;Supplier A;Raw Materials;43202,83;649;Brazil;0,41
04/06/2024;Supplier A;Raw Materials;35435,16;852;France;7,45
27/09/2023;Supplier C;Office Supplies;41949,17;951;India;-7,42
07/04/2023;Supplier C;IT Equipment;48115,44;301;France;-5,59
15/05/2023;Supplier C;Logistics;11903,25;317;UK;-9,03
02/01/2024;Supplier D;IT Equipment;13176,62;579;India;7,97
06/11/2024;Supplier E;Office Supplies;4689,58;771;China;11,09
21/03/2024;Supplier E;Raw Materials;29541,21;236;Brazil;-4,74
17/05/2023;Supplier E;IT Equipment;5528,48;427;Brazil;9,41
23/03/2023;Supplier B;Logistics;48473,75;338;Germany;14,36
26/04/2024;Supplier A;Raw Materials;45183,03;641;China;9,69
19/06/2024;Supplier D;Raw Materials;35725,86;329;China;7,89
05/02/2023;Supplier C;Consulting;12056,26;294;Brazil;2,38
25/10/2023;Supplier E;Logistics;15385,39;626;China;-5,68
24/04/2023;Supplier E;IT Equipment;27219,62;278;UK;-8,71
12/10/2023;Supplier E;IT Equipment;17556,05;502;UK;-4,99
07/11/2024;Supplier D;IT Equipment;49247,5;317;UK;12,51
18/03/2024;Supplier D;IT Equipment;48445,06;546;Germany;8,54
06/04/2023;Supplier B;Raw Materials;39175,17;255;France;-9,87
23/05/2023;Supplier C;Raw Materials;32077,9;380;Germany;8,17
20/02/2023;Supplier E;Consulting;46580,9;628;France;9,48
28/10/2023;Supplier C;Raw Materials;43278,85;363;India;10,1
04/08/2023;Supplier B;IT Equipment;19009,18;459;France;4,71
23/06/2023;Supplier B;Office Supplies;26262,88;638;India;5,71
13/10/2023;Supplier A;Raw Materials;45267,07;199;Brazil;-1,48
28/06/2024;Supplier C;Office Supplies;31983,23;866;Brazil;4,9
28/08/2024;Supplier C;Raw Materials;42062,85;13;India;5,65
14/12/2023;Supplier A;Office Supplies;15069,4;685;USA;11,23
14/04/2024;Supplier D;Consulting;23878,99;120;France;7,32
13/11/2023;Supplier B;Logistics;34135,61;524;USA;12,46
01/12/2023;Supplier D;Consulting;6551,68;376;India;13,74
16/11/2023;Supplier E;Raw Materials;16019,97;914;Brazil;3,54
22/04/2023;Supplier B;Logistics;8810,77;787;UK;10,88
21/07/2023;Supplier A;Office Supplies;18456,58;2;Brazil;2,96
27/01/2024;Supplier A;Office Supplies;2223,15;986;China;-7,01
22/07/2023;Supplier A;Consulting;11632,91;236;USA;7,69
02/11/2024;Supplier C;Consulting;41882,24;611;France;5,6
06/11/2023;Supplier B;Raw Materials;7910,89;794;France;-8,01
15/11/2024;Supplier A;IT Equipment;45496,13;920;China;4,63
11/09/2023;Supplier A;IT Equipment;6675,54;86;India;5,55
28/06/2023;Supplier A;Raw Materials;45656,82;306;Germany;-9,58
28/05/2024;Supplier B;Raw Materials;15172,62;227;India;5,55
21/05/2024;Supplier E;Raw Materials;22755,61;115;France;3,4
28/01/2024;Supplier B;IT Equipment;21478,66;967;France;-6,62
24/10/2023;Supplier A;Office Supplies;18728,91;583;China;1,56
03/09/2023;Supplier D;Consulting;13110,34;16;Germany;7,13
19/05/2023;Supplier C;Consulting;10809,5;928;Germany;-4,54
19/02/2024;Supplier D;Logistics;33905,29;800;Brazil;3,46
22/02/2024;Supplier B;Raw Materials;32742,63;243;India;-9,1
19/07/2024;Supplier B;Office Supplies;10975,77;70;Brazil;6,13
25/04/2023;Supplier E;Logistics;13132,74;401;Germany;3,37
06/04/2024;Supplier B;Consulting;3323,79;690;Brazil;-7,51
27/12/2024;Supplier E;Office Supplies;13625,36;986;China;9,8
22/08/2024;Supplier E;Office Supplies;15413,79;877;India;-0,69
01/03/2023;Supplier C;Office Supplies;2110,11;833;UK;9,57
08/10/2023;Supplier A;Logistics;31400,46;129;Germany;10,83
25/11/2023;Supplier A;Office Supplies;32749,37;992;UK;-3,19
26/05/2024;Supplier C;Raw Materials;34117,91;800;Brazil;7,08
11/01/2024;Supplier B;IT Equipment;15878,11;406;Brazil;5,22
11/03/2024;Supplier E;Logistics;33799,34;589;Germany;-9,92
09/12/2023;Supplier C;Office Supplies;28080,88;492;France;12,33
07/02/2024;Supplier C;Logistics;43509,86;813;France;-9,15
03/09/2023;Supplier B;Consulting;34411,51;649;Brazil;10,94
01/08/2023;Supplier D;Raw Materials;9100,89;668;Brazil;-4
12/02/2024;Supplier A;Consulting;30031,28;838;USA;-5,62
09/03/2023;Supplier E;Logistics;3376,55;755;India;6,45
18/08/2024;Supplier D;Consulting;15248,47;129;Germany;13,48
23/12/2024;Supplier C;Consulting;40113,22;712;UK;10,32
19/03/2024;Supplier A;Raw Materials;44996,3;481;USA;6,7
17/11/2024;Supplier A;Raw Materials;8311,16;332;UK;5,58
14/12/2024;Supplier C;Raw Materials;30174,73;649;France;-6,8
07/02/2023;Supplier E;Consulting;34573,94;221;China;4,37
29/10/2024;Supplier D;Logistics;8133,92;782;USA;-5,68
10/03/2023;Supplier E;IT Equipment;21527,72;739;Brazil;10,52
01/10/2024;Supplier B;Logistics;36529,89;338;China;-4,71
24/06/2024;Supplier E;IT Equipment;31938,44;20;Germany;1,3
23/10/2023;Supplier B;Raw Materials;28046,98;341;Brazil;13,35
15/05/2023;Supplier A;IT Equipment;20336,21;293;UK;3,74
12/05/2023;Supplier E;Consulting;19971,02;186;Brazil;5,64
18/09/2023;Supplier B;Raw Materials;46784,13;29;Brazil;11,95
03/02/2023;Supplier D;Office Supplies;21294;157;USA;4,22
01/04/2023;Supplier D;Consulting;12282,24;628;France;14,9
19/11/2024;Supplier A;IT Equipment;32401,98;343;USA;1,89
16/12/2023;Supplier A;IT Equipment;36764,14;162;Brazil;7,08
20/06/2024;Supplier E;Logistics;35241,55;477;UK;-4,15
28/10/2024;Supplier C;IT Equipment;24703,86;99;Brazil;10,17
16/08/2023;Supplier D;IT Equipment;18234,36;179;India;-1,12
30/07/2023;Supplier B;Logistics;17966,59;778;Brazil;12,06
22/09/2024;Supplier C;IT Equipment;40560,83;278;UK;-0,48
13/04/2023;Supplier C;Logistics;13264,61;780;Germany;-8,29
16/01/2024;Supplier A;Consulting;30943,99;526;France;-2,56
