Supplier_Name;Category;Spend_Amount;Payment_Term_Days;Contracted_Delivery_Time;Actual_Delivery_Time
Supplier_4;Consulting;287112,41;60;29;43
Supplier_16;Consulting;349384,2;45;24;20
Supplier_19;Marketing;463338,35;30;38;53
Supplier_17;Consulting;49061,48;45;45;53
Supplier_14;Production;149078,47;30;35;31
Supplier_20;IT;283905,02;45;41;56
Supplier_20;Logistics;318424,95;60;58;65
Supplier_19;Production;213300,74;30;22;35
Supplier_5;Consulting;86635,48;60;34;37
Supplier_13;Production;359182;45;17;31
Supplier_10;IT;414894,92;90;12;9
Supplier_18;Consulting;115659,27;60;46;60
Supplier_11;Consulting;238566,91;90;49;57
Supplier_7;Marketing;208807,78;90;56;71
Supplier_20;IT;469143,32;45;44;43
Supplier_17;Logistics;319540,3;60;60;73
Supplier_13;IT;122109,12;60;38;51
Supplier_17;Marketing;186388,76;45;10;5
Supplier_14;Marketing;194327,74;30;27;26
Supplier_3;Logistics;398949,93;90;39;35
Supplier_8;Production;174208,28;30;33;25
Supplier_16;Logistics;137324,75;45;45;49
Supplier_8;IT;466432,17;60;22;26
Supplier_14;IT;441212,14;60;15;27
Supplier_12;Production;76230,3;45;26;30
Supplier_2;Production;17734,11;90;42;33
Supplier_7;Logistics;394822,68;45;22;31
Supplier_12;Logistics;167938,11;45;41;46
Supplier_5;IT;13016,76;30;52;62
Supplier_10;Consulting;265146,41;45;50;41
Supplier_18;Consulting;132689,64;90;36;28
Supplier_7;IT;68285,21;30;52;52
Supplier_10;Consulting;425530,56;30;20;32
Supplier_20;Production;26340,03;30;52;57
Supplier_8;Logistics;283466,1;90;18;21
Supplier_1;Logistics;287658,11;45;42;41
Supplier_14;Consulting;160050,63;30;44;39
Supplier_14;IT;423335,81;30;36;40
Supplier_9;Logistics;34319,12;90;55;48
Supplier_15;Production;441179,72;30;44;34
Supplier_1;Marketing;246929,24;90;51;41
Supplier_18;Logistics;425790,13;60;34;33
Supplier_17;Production;431142,89;60;42;37
Supplier_16;Production;25087,3;30;21;12
Supplier_8;Consulting;377610,93;90;21;19
Supplier_13;Logistics;109262,89;90;48;59
Supplier_10;Consulting;382925,12;90;22;31
Supplier_16;Production;396284,53;60;26;34
Supplier_2;Production;197299,38;30;58;61
Supplier_2;IT;33438,09;30;58;56
Supplier_16;IT;199308,53;90;42;45
Supplier_18;Production;322374,12;45;47;37
Supplier_12;Logistics;243339,69;45;33;46
Supplier_8;Logistics;56145,62;45;18;27
Supplier_11;Consulting;333144,15;45;45;51
Supplier_15;Marketing;362435,17;60;57;53
Supplier_5;Production;183208,07;60;51;54
Supplier_12;Production;456245,55;45;32;30
Supplier_9;IT;374959,97;60;20;17
Supplier_10;Consulting;484781,73;90;39;30
Supplier_5;Logistics;475665,18;60;35;42
Supplier_7;Marketing;58520,77;60;46;55
Supplier_12;Marketing;446440,72;90;50;65
Supplier_12;Production;388678,17;30;17;12
Supplier_1;Consulting;308146,89;30;13;5
Supplier_12;IT;145408,51;90;52;46
Supplier_6;Consulting;211441,21;90;19;23
Supplier_3;IT;71826,99;45;16;25
Supplier_16;Production;135550,84;90;28;34
Supplier_7;Logistics;76914,18;45;41;37
Supplier_4;Logistics;290767,27;30;47;61
Supplier_18;Marketing;362253,06;45;47;42
Supplier_6;Production;318993,68;45;31;37
Supplier_17;Logistics;478520,93;60;25;29
Supplier_7;Logistics;44751,27;30;31;34
Supplier_16;Production;123092,17;90;54;47
Supplier_9;Consulting;297036,84;60;17;19
Supplier_6;IT;372825,73;30;44;39
Supplier_15;Marketing;473124,45;60;57;50
Supplier_13;Logistics;326095,51;60;34;29
Supplier_13;Production;327371,82;90;17;16
Supplier_14;Consulting;47246,51;30;44;58
Supplier_1;Consulting;393122,53;30;28;42
Supplier_7;Marketing;286746,71;90;24;39
Supplier_13;Marketing;142192,01;45;16;28
Supplier_12;Marketing;141295,14;60;16;19
Supplier_18;IT;267462,16;90;31;32
Supplier_7;Production;266520,03;45;37;29
Supplier_13;Consulting;292611,97;30;54;69
Supplier_15;Logistics;176460,05;90;37;49
Supplier_11;IT;228439,73;45;54;67
Supplier_9;Marketing;80832,96;45;44;45
Supplier_14;Production;365934,04;60;27;20
Supplier_6;Consulting;31963,81;60;57;71
Supplier_11;Consulting;423943,91;45;15;5
Supplier_17;Consulting;238555,74;30;19;25
Supplier_18;Consulting;245790,44;30;21;31
Supplier_4;Marketing;185511,94;90;15;9
Supplier_12;IT;378242,61;30;24;27
Supplier_3;IT;160751,48;30;35;27
Supplier_7;IT;448163,27;30;30;39
Supplier_13;Production;5645,24;90;30;42
Supplier_15;IT;371270,37;90;23;13
Supplier_8;Consulting;299269,32;60;27;27
Supplier_14;IT;499639,4;60;27;36
Supplier_7;Marketing;201758,2;60;33;38
Supplier_14;Consulting;487048,2;90;40;32
Supplier_20;Marketing;269437,8;45;58;49
Supplier_7;IT;199353,22;30;44;43
Supplier_19;Logistics;460856,91;90;54;50
Supplier_17;IT;335796,79;45;15;15
Supplier_10;Consulting;208134,42;45;47;50
Supplier_5;Consulting;8880,54;60;19;15
Supplier_8;Marketing;403618,32;30;18;27
Supplier_13;Consulting;92638,02;45;57;48
Supplier_1;Production;378805,28;45;10;15
Supplier_14;Production;345219,46;30;42;40
Supplier_10;Logistics;41605,12;30;22;14
Supplier_1;Production;477514,15;90;46;59
Supplier_17;Logistics;151319,86;45;42;47
Supplier_6;IT;75993,1;30;41;34
Supplier_10;Production;238408,41;90;46;38
Supplier_7;Logistics;388201,48;90;26;25
Supplier_18;Production;18982;45;48;46
Supplier_7;Consulting;227731,11;60;40;33
Supplier_14;Production;347516,5;45;52;42
Supplier_8;Consulting;492895,46;45;13;16
Supplier_4;Consulting;485301,08;30;35;30
Supplier_15;Marketing;275196,86;30;26;36
Supplier_11;IT;478122,03;90;21;17
Supplier_7;Logistics;25216,42;30;53;64
Supplier_3;Logistics;210971,6;90;16;14
Supplier_6;IT;83383,84;45;27;19
Supplier_8;Consulting;16442,68;90;40;36
Supplier_6;Consulting;318562,7;90;12;5
Supplier_15;Marketing;393865,82;90;38;40
Supplier_12;Production;271082,85;90;37;33
Supplier_14;Marketing;348712,09;30;45;52
Supplier_16;Consulting;390175,86;60;31;30
Supplier_17;IT;273227,03;90;54;67
Supplier_13;Consulting;354409,18;30;40;34
Supplier_14;Logistics;177371,45;60;16;29
Supplier_18;Marketing;361978,15;30;52;66
Supplier_9;IT;103753,13;30;28;24
Supplier_14;Logistics;70182,72;45;34;32
Supplier_11;Marketing;401766,27;45;33;39
